il,yil,gosterge_kodu,gosterge,deger
Adana,2009,hekim_1000,Bin kişiye düşen hekim,1.6
Adıyaman,2009,hekim_1000,Bin kişiye düşen hekim,0.8
Afyon,2009,hekim_1000,Bin kişiye düşen hekim,1.3
Aksaray,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Amasya,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Ankara,2009,hekim_1000,Bin kişiye düşen hekim,3.7
Antalya,2009,hekim_1000,Bin kişiye düşen hekim,1.6
Ardahan,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Artvin,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Aydın,2009,hekim_1000,Bin kişiye düşen hekim,1.5
Ağrı,2009,hekim_1000,Bin kişiye düşen hekim,0.7
Balıkesir,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Bartın,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Batman,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Bayburt,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Bilecik,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Bingöl,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Bitlis,2009,hekim_1000,Bin kişiye düşen hekim,0.8
Bolu,2009,hekim_1000,Bin kişiye düşen hekim,1.9
Burdur,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Bursa,2009,hekim_1000,Bin kişiye düşen hekim,1.4
Denizli,2009,hekim_1000,Bin kişiye düşen hekim,1.6
Diyarbakır,2009,hekim_1000,Bin kişiye düşen hekim,1.3
Düzce,2009,hekim_1000,Bin kişiye düşen hekim,1.8
Edirne,2009,hekim_1000,Bin kişiye düşen hekim,2.7
Elazığ,2009,hekim_1000,Bin kişiye düşen hekim,2.2
Erzincan,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Erzurum,2009,hekim_1000,Bin kişiye düşen hekim,1.8
Eskişehir,2009,hekim_1000,Bin kişiye düşen hekim,1.9
Gaziantep,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Giresun,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Gümüşhane,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Hakkari,2009,hekim_1000,Bin kişiye düşen hekim,0.7
Hatay,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Isparta,2009,hekim_1000,Bin kişiye düşen hekim,2.3
Iğdır,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Kahramanmaraş,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Karabük,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Karaman,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Kars,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Kastamonu,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Kayseri,2009,hekim_1000,Bin kişiye düşen hekim,1.7
Kilis,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Kocaeli,2009,hekim_1000,Bin kişiye düşen hekim,1.4
Konya,2009,hekim_1000,Bin kişiye düşen hekim,1.4
Kütahya,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Kırklareli,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Kırıkkale,2009,hekim_1000,Bin kişiye düşen hekim,2.3
Kırşehir,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Malatya,2009,hekim_1000,Bin kişiye düşen hekim,1.7
Manisa,2009,hekim_1000,Bin kişiye düşen hekim,1.3
Mardin,2009,hekim_1000,Bin kişiye düşen hekim,0.8
Mersin,2009,hekim_1000,Bin kişiye düşen hekim,1.3
Muğla,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Muş,2009,hekim_1000,Bin kişiye düşen hekim,0.7
Nevşehir,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Niğde,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Ordu,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Osmaniye,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Rize,2009,hekim_1000,Bin kişiye düşen hekim,1.4
Sakarya,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Samsun,2009,hekim_1000,Bin kişiye düşen hekim,1.7
Siirt,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Sinop,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Sivas,2009,hekim_1000,Bin kişiye düşen hekim,1.8
Tekirdağ,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Tokat,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Trabzon,2009,hekim_1000,Bin kişiye düşen hekim,2.0
Tunceli,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Uşak,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Van,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Yalova,2009,hekim_1000,Bin kişiye düşen hekim,1.2
Yozgat,2009,hekim_1000,Bin kişiye düşen hekim,1.0
Zonguldak,2009,hekim_1000,Bin kişiye düşen hekim,1.6
Çanakkale,2009,hekim_1000,Bin kişiye düşen hekim,1.3
Çankırı,2009,hekim_1000,Bin kişiye düşen hekim,1.1
Çorum,2009,hekim_1000,Bin kişiye düşen hekim,1.0
İstanbul,2009,hekim_1000,Bin kişiye düşen hekim,1.9
İzmir,2009,hekim_1000,Bin kişiye düşen hekim,2.3
Şanlıurfa,2009,hekim_1000,Bin kişiye düşen hekim,0.9
Şırnak,2009,hekim_1000,Bin kişiye düşen hekim,0.8
Adana,2010,hekim_1000,Bin kişiye düşen hekim,1.6
Adıyaman,2010,hekim_1000,Bin kişiye düşen hekim,0.9
Afyon,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Aksaray,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Amasya,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Ankara,2010,hekim_1000,Bin kişiye düşen hekim,3.5
Antalya,2010,hekim_1000,Bin kişiye düşen hekim,1.7
Ardahan,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Artvin,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Aydın,2010,hekim_1000,Bin kişiye düşen hekim,1.6
Ağrı,2010,hekim_1000,Bin kişiye düşen hekim,0.9
Balıkesir,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Bartın,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Batman,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Bayburt,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Bilecik,2010,hekim_1000,Bin kişiye düşen hekim,1.0
Bingöl,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Bitlis,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Bolu,2010,hekim_1000,Bin kişiye düşen hekim,2.0
Burdur,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Bursa,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Denizli,2010,hekim_1000,Bin kişiye düşen hekim,1.7
Diyarbakır,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Düzce,2010,hekim_1000,Bin kişiye düşen hekim,1.7
Edirne,2010,hekim_1000,Bin kişiye düşen hekim,2.7
Elazığ,2010,hekim_1000,Bin kişiye düşen hekim,2.1
Erzincan,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Erzurum,2010,hekim_1000,Bin kişiye düşen hekim,1.9
Eskişehir,2010,hekim_1000,Bin kişiye düşen hekim,1.9
Gaziantep,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Giresun,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Gümüşhane,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Hakkari,2010,hekim_1000,Bin kişiye düşen hekim,1.0
Hatay,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Isparta,2010,hekim_1000,Bin kişiye düşen hekim,2.1
Iğdır,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Kahramanmaraş,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Karabük,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Karaman,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Kars,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Kastamonu,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Kayseri,2010,hekim_1000,Bin kişiye düşen hekim,1.7
Kilis,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Kocaeli,2010,hekim_1000,Bin kişiye düşen hekim,1.5
Konya,2010,hekim_1000,Bin kişiye düşen hekim,1.5
Kütahya,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Kırklareli,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Kırıkkale,2010,hekim_1000,Bin kişiye düşen hekim,2.3
Kırşehir,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Malatya,2010,hekim_1000,Bin kişiye düşen hekim,1.8
Manisa,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Mardin,2010,hekim_1000,Bin kişiye düşen hekim,0.9
Mersin,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Muğla,2010,hekim_1000,Bin kişiye düşen hekim,1.3
Muş,2010,hekim_1000,Bin kişiye düşen hekim,0.9
Nevşehir,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Niğde,2010,hekim_1000,Bin kişiye düşen hekim,1.0
Ordu,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Osmaniye,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Rize,2010,hekim_1000,Bin kişiye düşen hekim,1.6
Sakarya,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Samsun,2010,hekim_1000,Bin kişiye düşen hekim,1.8
Siirt,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Sinop,2010,hekim_1000,Bin kişiye düşen hekim,1.2
Sivas,2010,hekim_1000,Bin kişiye düşen hekim,1.9
Tekirdağ,2010,hekim_1000,Bin kişiye düşen hekim,1.1
Tokat,2010,hekim_1000,Bin kişiye düşen hekim,1.4
Trabzon,2010,hekim_1000,Bin kişiye düşen hekim,2.1
Tunceli,2010,hekim_1000,Bin kişiye düşen hekim,1.6
Uşak,2010,hekim_1000,Bin kişiye düşen hekim,1.2
