il,grup,sira,long,lat
Adana,Adana__0__0,0,35.279,36.6407
Adana,Adana__0__0,1,35.2818,36.639
Adana,Adana__0__0,2,35.2829,36.6368
Adana,Adana__0__0,3,35.2782,36.6401
Adana,Adana__0__0,4,35.279,36.6407
Adana,Adana__1__0,0,35.2715,36.6449
Adana,Adana__1__0,1,35.274,36.6432
Adana,Adana__1__0,2,35.274,36.6421
Adana,Adana__1__0,3,35.2713,36.6432
Adana,Adana__1__0,4,35.2715,36.6449
Adana,Adana__2__0,0,35.2074,36.6507
Adana,Adana__2__0,1,35.2093,36.6499
Adana,Adana__2__0,2,35.2096,36.6493
Adana,Adana__2__0,3,35.2062,36.649
Adana,Adana__2__0,4,35.2074,36.6507
Adana,Adana__3__0,0,35.2118,36.6554
Adana,Adana__3__0,1,35.2121,36.6532
Adana,Adana__3__0,2,35.2115,36.6529
Adana,Adana__3__0,3,35.2096,36.6551
Adana,Adana__3__0,4,35.2118,36.6554
Adana,Adana__4__0,0,35.2135,36.6599
Adana,Adana__4__0,1,35.214,36.6587
Adana,Adana__4__0,2,35.2107,36.659
Adana,Adana__4__0,3,35.211,36.6599
Adana,Adana__4__0,4,35.2135,36.6599
Adana,Adana__5__0,0,35.2096,36.6787
Adana,Adana__5__0,1,35.2124,36.6776
Adana,Adana__5__0,2,35.2124,36.6768
Adana,Adana__5__0,3,35.2085,36.6782
Adana,Adana__5__0,4,35.2096,36.6787
Adana,Adana__6__0,0,35.5913,36.704
Adana,Adana__6__0,1,35.5915,36.6996
Adana,Adana__6__0,2,35.5907,36.6996
Adana,Adana__6__0,3,35.5899,36.7032
Adana,Adana__6__0,4,35.5913,36.704
Adana,Adana__7__0,0,35.6068,36.7054
Adana,Adana__7__0,1,35.6063,36.701
Adana,Adana__7__0,2,35.6012,36.7002
Adana,Adana__7__0,3,35.6051,36.7054
Adana,Adana__7__0,4,35.6068,36.7054
Adana,Adana__8__0,0,35.6826,36.7163
Adana,Adana__8__0,1,35.6796,36.7126
Adana,Adana__8__0,2,35.6774,36.714
Adana,Adana__8__0,3,35.681,36.7163
Adana,Adana__8__0,4,35.6826,36.7163
Adana,Adana__9__0,0,35.6971,36.7274
Adana,Adana__9__0,1,35.7029,36.7243
Adana,Adana__9__0,2,35.7029,36.7235
Adana,Adana__9__0,3,35.6974,36.7238
Adana,Adana__9__0,4,35.6971,36.7274
Adana,Adana__10__0,0,36.3296,37.92
Adana,Adana__10__0,1,36.3152,37.8856
Adana,Adana__10__0,2,36.319,37.8325
Adana,Adana__10__0,3,36.3622,37.7534
Adana,Adana__10__0,4,36.3024,37.6512
Adana,Adana__10__0,5,36.1538,37.6369
Adana,Adana__10__0,6,36.0333,37.5709
Adana,Adana__10__0,7,35.8832,37.3569
Adana,Adana__10__0,8,35.8818,37.2416
Adana,Adana__10__0,9,35.9043,37.2083
Adana,Adana__10__0,10,35.8528,37.1287
Adana,Adana__10__0,11,35.8748,37.1217
Adana,Adana__10__0,12,36.001,37.1742
Adana,Adana__10__0,13,36.0323,37.1591
Adana,Adana__10__0,14,36.0614,37.1089
Adana,Adana__10__0,15,36.0416,37.0256
Adana,Adana__10__0,16,35.947,36.9569
Adana,Adana__10__0,17,35.9126,36.9035
Adana,Adana__10__0,18,35.934,36.8799
Adana,Adana__10__0,19,35.8418,36.7951
Adana,Adana__10__0,20,35.7946,36.7657
Adana,Adana__10__0,21,35.6668,36.7671
Adana,Adana__10__0,22,35.6271,36.7457
Adana,Adana__10__0,23,35.6093,36.7143
Adana,Adana__10__0,24,35.6129,36.7321
Adana,Adana__10__0,25,35.6032,36.7271
Adana,Adana__10__0,26,35.5996,36.6999
Adana,Adana__10__0,27,35.5915,36.711
Adana,Adana__10__0,28,35.5632,36.7126
Adana,Adana__10__0,29,35.5543,36.6996
Adana,Adana__10__0,30,35.5701,36.7065
Adana,Adana__10__0,31,35.5846,36.6796
Adana,Adana__10__0,32,35.6296,36.7215
Adana,Adana__10__0,33,35.6243,36.7337
Adana,Adana__10__0,34,35.6543,36.7399
Adana,Adana__10__0,35,35.6454,36.7076
Adana,Adana__10__0,36,35.6568,36.729
Adana,Adana__10__0,37,35.654,36.7079
Adana,Adana__10__0,38,35.7065,36.7132
Adana,Adana__10__0,39,35.7043,36.7232
Adana,Adana__10__0,40,35.7235,36.7126
Adana,Adana__10__0,41,35.6451,36.6685
Adana,Adana__10__0,42,35.6218,36.6043
Adana,Adana__10__0,43,35.5818,36.5907
Adana,Adana__10__0,44,35.566,36.5649
Adana,Adana__10__0,45,35.4182,36.5901
Adana,Adana__10__0,46,35.339,36.5385
Adana,Adana__10__0,47,35.3296,36.5679
Adana,Adana__10__0,48,35.3221,36.5724
Adana,Adana__10__0,49,35.3462,36.6035
Adana,Adana__10__0,50,35.2851,36.6268
Adana,Adana__10__0,51,35.2879,36.6435
Adana,Adana__10__0,52,35.271,36.6521
Adana,Adana__10__0,53,35.264,36.6393
Adana,Adana__10__0,54,35.249,36.654
Adana,Adana__10__0,55,35.2715,36.6618
Adana,Adana__10__0,56,35.251,36.6782
Adana,Adana__10__0,57,35.1807,36.6929
Adana,Adana__10__0,58,35.1635,36.676
Adana,Adana__10__0,59,35.176,36.6615
Adana,Adana__10__0,60,35.2735,36.6087
Adana,Adana__10__0,61,35.3246,36.5588
Adana,Adana__10__0,62,34.9979,36.7135
Adana,Adana__10__0,63,34.9152,36.7249
Adana,Adana__10__0,64,34.9498,36.754
Adana,Adana__10__0,65,35.0348,36.771
Adana,Adana__10__0,66,35.0672,36.8179
Adana,Adana__10__0,67,35.0696,36.8526
Adana,Adana__10__0,68,35.0546,36.9704
Adana,Adana__10__0,69,35.0008,37.0415
Adana,Adana__10__0,70,34.9252,37.0897
Adana,Adana__10__0,71,34.9001,37.1763
Adana,Adana__10__0,72,34.7863,37.3793
Adana,Adana__10__0,73,34.7883,37.4652
Adana,Adana__10__0,74,34.8608,37.525
Adana,Adana__10__0,75,34.8585,37.5788
Adana,Adana__10__0,76,34.8166,37.6584
Adana,Adana__10__0,77,34.8267,37.6849
Adana,Adana__10__0,78,34.8695,37.71
Adana,Adana__10__0,79,35.0258,37.6989
Adana,Adana__10__0,80,35.0816,37.7187
Adana,Adana__10__0,81,35.2137,37.8321
Adana,Adana__10__0,82,35.2076,37.9133
Adana,Adana__10__0,83,35.2417,37.9536
Adana,Adana__10__0,84,35.4568,37.9196
Adana,Adana__10__0,85,35.621,37.9558
Adana,Adana__10__0,86,35.681,38.0597
Adana,Adana__10__0,87,36.0134,38.1856
Adana,Adana__10__0,88,36.1614,38.4135
Adana,Adana__10__0,89,36.3054,38.4637
Adana,Adana__10__0,90,36.3776,38.4664
Adana,Adana__10__0,91,36.4221,38.4422
Adana,Adana__10__0,92,36.4914,38.3163
Adana,Adana__10__0,93,36.4262,38.2528
Adana,Adana__10__0,94,36.3354,37.9967
Adana,Adana__10__0,95,36.3296,37.92
Adıyaman,Adıyaman__0__0,0,38.6553,38.0917
Adıyaman,Adıyaman__0__0,1,38.8589,38.0924
Adıyaman,Adıyaman__0__0,2,39.0051,38.1175
Adıyaman,Adıyaman__0__0,3,39.0746,38.145
Adıyaman,Adıyaman__0__0,4,39.1117,38.1847
Adıyaman,Adıyaman__0__0,5,39.1602,38.1733
Adıyaman,Adıyaman__0__0,6,39.205,38.1913
Adıyaman,Adıyaman__0__0,7,39.2463,38.1667
Adıyaman,Adıyaman__0__0,8,39.2101,38.0525
Adıyaman,Adıyaman__0__0,9,39.0734,37.9918
Adıyaman,Adıyaman__0__0,10,38.992,37.9138
Adıyaman,Adıyaman__0__0,11,38.9764,37.8844
Adıyaman,Adıyaman__0__0,12,38.9781,37.7954
Adıyaman,Adıyaman__0__0,13,38.9518,37.7491
Adıyaman,Adıyaman__0__0,14,38.8307,37.6931
Adıyaman,Adıyaman__0__0,15,38.8399,37.6586
Adıyaman,Adıyaman__0__0,16,38.8294,37.6424
Adıyaman,Adıyaman__0__0,17,38.6159,37.5778
Adıyaman,Adıyaman__0__0,18,38.4783,37.4889
Adıyaman,Adıyaman__0__0,19,38.3305,37.4844
Adıyaman,Adıyaman__0__0,20,38.1567,37.4069
Adıyaman,Adıyaman__0__0,21,38.0608,37.4312
Adıyaman,Adıyaman__0__0,22,37.9825,37.4962
Adıyaman,Adıyaman__0__0,23,37.7958,37.5447
Adıyaman,Adıyaman__0__0,24,37.6791,37.512
Adıyaman,Adıyaman__0__0,25,37.623,37.5121
Adıyaman,Adıyaman__0__0,26,37.5731,37.5505
Adıyaman,Adıyaman__0__0,27,37.4595,37.5824
Adıyaman,Adıyaman__0__0,28,37.4165,37.6164
Adıyaman,Adıyaman__0__0,29,37.4222,37.7033
Adıyaman,Adıyaman__0__0,30,37.5942,37.8249
Adıyaman,Adıyaman__0__0,31,37.7373,37.8341
Adıyaman,Adıyaman__0__0,32,37.7695,37.8663
Adıyaman,Adıyaman__0__0,33,37.8357,37.8828
Adıyaman,Adıyaman__0__0,34,37.9803,37.861
Adıyaman,Adıyaman__0__0,35,38.1811,37.919
Adıyaman,Adıyaman__0__0,36,38.1348,38.0894
Adıyaman,Adıyaman__0__0,37,38.3986,38.1996
